Total,Feminino,Masculino,Curso
1,0,1,Biomedicina
93,9,84,Ciência da Computação
6,0,6,Ciência da Computação (Rio das Ostras)
1,0,1,Desenho Industrial
1,1,0,Eng. de Sist. \& Computação
3,0,3,Engenharia Civil
6,1,5,Engenharia de Computação
2,0,2,Engenharia de Produção
9,3,6,Engenharia de Telecomunicações
10,1,9,Engenharia Elétrica
11,4,7,Informática
11,3,8,Matemática
11,3,8,Sistemas de Informação
1,0,1,Tecnologia em Jogos Digitais
3,0,3,Tecnologia em Sistemas de Computação
4,1,3,Tecnólogo em Informática
2,2,0,Tecnólogo em Proc. de Dados
