Instituicao,Curso,Feminino,Masculino,Total
UFES,"Ciência da Computação",0,1,1
UFF,"Ciência da Computação",4,12,16
UFMT,"Ciência da Computação",0,1,1
UFRJ,"Ciência da Computação",0,1,1
UFF,"Ciência da Computação (Rio das Ostras)",0,5,5
UERJ,"Engenharia Civil",0,1,1
UFF,"Engenharia de Produção",0,2,2
UFF,"Engenharia de Telecomunicações",2,2,4
UFF,"Engenharia Elétrica",0,1,1
UNESA,Informática,1,0,1
UERJ,Matemática,0,1,1
UFF,Matemática,1,2,3
UFF,"Sistemas de Informação",1,1,2
UFF,"Tecnologia em Sistemas de Computação",0,1,1
